2025-04-18 13:38:54,932 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-18 13:38:54,932 - INFO - 当前评分模式: ['mean_ratio']
2025-04-18 13:38:54,933 - INFO - 
==================================================
2025-04-18 13:38:54,933 - INFO - 开始执行网格搜索...
2025-04-18 13:38:54,934 - INFO - [omi-12] Starting grid search...
2025-04-18 13:38:57,802 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:38:57,804 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:38:58,227 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=1.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-18 13:38:58,228 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-18 13:38:58,933 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=2.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-18 13:38:59,214 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-04-18 13:38:59,215 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-18 13:38:59,562 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=3.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:38:59,780 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:39:00,087 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:39:00,224 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=5.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:39:00,247 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=5.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:39:00,261 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:39:00,274 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:39:00,277 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=7.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 13:39:00,277 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:39:00,278 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:39:00,278 - INFO - [omi-12.txt] mode=mean_ratio, corr_threshold=0.0, threshold=1.0, P=0.6230, R=0.9500, F1=0.7525
