2025-04-17 09:37:40,251 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-04-17 09:37:40,251 - INFO - 当前评分模式: ['value_times_range']
2025-04-17 09:37:40,251 - INFO - 
==================================================
2025-04-17 09:37:40,251 - INFO - 开始执行网格搜索...
2025-04-17 09:37:40,252 - INFO - [omi-12] Starting grid search...
2025-04-17 09:37:43,205 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-17 09:37:43,206 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=0.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-17 09:37:43,206 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=1.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-17 09:37:43,206 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=1.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-17 09:37:43,206 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=2.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=2.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=3.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=3.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=4.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=6.0, P=0.6607, R=0.9250, F1=0.7708
2025-04-17 09:37:43,207 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=6.5, P=0.6607, R=0.9250, F1=0.7708
2025-04-17 09:37:43,257 - INFO - [omi-12.txt] mode=value_times_range, all=None, threshold=7.0, P=0.6607, R=0.9250, F1=0.7708
