2025-04-17 08:08:42,501 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 08:08:42,501 - INFO - 当前评分模式: ['strict_deviation']
2025-04-17 08:08:42,501 - INFO - 
==================================================
2025-04-17 08:08:42,501 - INFO - 开始执行网格搜索...
2025-04-17 08:08:42,503 - INFO - [omi-12] Starting grid search...
2025-04-17 08:08:45,315 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-04-17 08:08:45,317 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=0.5, P=0.6750, R=0.6750, F1=0.6750
2025-04-17 08:08:45,318 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=1.0, P=0.7027, R=0.6500, F1=0.6753
2025-04-17 08:08:45,318 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=1.5, P=0.7027, R=0.6500, F1=0.6753
2025-04-17 08:08:45,318 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=2.0, P=0.7222, R=0.6500, F1=0.6842
2025-04-17 08:08:47,518 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=2.5, P=0.7143, R=0.6250, F1=0.6667
2025-04-17 08:08:47,518 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=3.0, P=0.6970, R=0.5750, F1=0.6301
2025-04-17 08:08:47,519 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=3.5, P=0.6875, R=0.5500, F1=0.6111
2025-04-17 08:08:47,519 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=4.0, P=0.6774, R=0.5250, F1=0.5915
2025-04-17 08:08:47,520 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=4.5, P=0.7000, R=0.5250, F1=0.6000
2025-04-17 08:08:47,520 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=5.0, P=0.7037, R=0.4750, F1=0.5672
2025-04-17 08:08:47,553 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=5.5, P=0.7917, R=0.4750, F1=0.5937
2025-04-17 08:08:47,565 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=6.0, P=0.7917, R=0.4750, F1=0.5937
2025-04-17 08:08:47,566 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=6.5, P=0.7917, R=0.4750, F1=0.5937
2025-04-17 08:08:47,566 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=7.0, P=0.8261, R=0.4750, F1=0.6032
2025-04-17 08:08:47,566 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=0.0, P=0.6383, R=0.7500, F1=0.6897
2025-04-17 08:08:47,596 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=0.5, P=0.6383, R=0.7500, F1=0.6897
2025-04-17 08:08:47,597 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=1.0, P=0.6667, R=0.7500, F1=0.7059
2025-04-17 08:08:47,597 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=1.5, P=0.6744, R=0.7250, F1=0.6988
2025-04-17 08:08:47,597 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=2.0, P=0.6829, R=0.7000, F1=0.6914
2025-04-17 08:08:47,597 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=2.5, P=0.6829, R=0.7000, F1=0.6914
2025-04-17 08:08:47,598 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=3.0, P=0.6829, R=0.7000, F1=0.6914
2025-04-17 08:08:47,598 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=3.5, P=0.6829, R=0.7000, F1=0.6914
2025-04-17 08:08:47,598 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=4.0, P=0.6750, R=0.6750, F1=0.6750
2025-04-17 08:08:47,598 - INFO - [omi-12.txt] mode=strict_deviation, topk=2, threshold=4.5, P=0.6842, R=0.6500, F1=0.6667
