2025-05-07 10:53:59,067 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-05-07 10:53:59,067 - INFO - 当前评分模式: ['strict_deviation']
2025-05-07 10:53:59,067 - INFO - 
==================================================
2025-05-07 10:53:59,067 - INFO - 开始执行网格搜索...
2025-05-07 10:53:59,068 - INFO - [omi-12] Starting grid search...
2025-05-07 10:54:02,068 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-05-07 10:54:02,069 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=0.5, P=0.6897, R=0.5000, F1=0.5797
2025-05-07 10:54:02,187 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=1.0, P=0.6957, R=0.4000, F1=0.5079
2025-05-07 10:54:02,188 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=1.5, P=0.7368, R=0.3500, F1=0.4746
2025-05-07 10:54:02,188 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=2.0, P=0.7059, R=0.3000, F1=0.4211
2025-05-07 10:54:02,188 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=2.5, P=0.6667, R=0.2500, F1=0.3636
2025-05-07 10:54:02,188 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=3.0, P=0.9091, R=0.2500, F1=0.3922
2025-05-07 10:54:02,188 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=3.5, P=0.9000, R=0.2250, F1=0.3600
2025-05-07 10:54:02,188 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=4.0, P=0.9000, R=0.2250, F1=0.3600
2025-05-07 10:54:03,328 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=4.5, P=0.9000, R=0.2250, F1=0.3600
2025-05-07 10:54:03,333 - INFO - [omi-12.txt] mode=strict_deviation, topk=1, threshold=5.0, P=0.9000, R=0.2250, F1=0.3600
