2025-04-16 22:05:37,325 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-16 22:05:37,325 - INFO - 当前评分模式: ['deviation']
2025-04-16 22:05:37,325 - INFO - 
==================================================
2025-04-16 22:05:37,325 - INFO - 开始执行网格搜索...
2025-04-16 22:05:37,326 - INFO - [omi-12] Starting grid search...
2025-04-16 22:05:40,033 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:40,369 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:40,370 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:40,391 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:40,458 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:41,027 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-04-16 22:05:41,029 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-16 22:05:41,049 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=3.5, P=0.6333, R=0.9500, F1=0.7600
2025-04-16 22:05:41,713 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-16 22:05:41,715 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-16 22:05:42,059 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=5.0, P=0.6786, R=0.9500, F1=0.7917
2025-04-16 22:05:42,608 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=5.5, P=0.7037, R=0.9500, F1=0.8085
2025-04-16 22:05:42,661 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=6.0, P=0.7170, R=0.9500, F1=0.8172
2025-04-16 22:05:42,661 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=6.5, P=0.7255, R=0.9250, F1=0.8132
2025-04-16 22:05:42,669 - INFO - [omi-12.txt] mode=deviation, topk=1, threshold=7.0, P=0.7255, R=0.9250, F1=0.8132
2025-04-16 22:05:42,669 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,669 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,669 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,669 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,669 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=2.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=3.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=3.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=4.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=4.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=5.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=5.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,670 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=6.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:42,671 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=6.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-16 22:05:42,802 - INFO - [omi-12.txt] mode=deviation, topk=2, threshold=7.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-16 22:05:42,803 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,803 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,804 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,804 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,804 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,804 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:42,804 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=3.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:43,085 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=3.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:43,322 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=4.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:43,322 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=4.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:43,322 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=5.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:43,325 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=5.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:43,325 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=6.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:43,698 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=6.5, P=0.6333, R=0.9500, F1=0.7600
2025-04-16 22:05:43,699 - INFO - [omi-12.txt] mode=deviation, topk=3, threshold=7.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-16 22:05:44,075 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,076 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,710 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,712 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,712 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,931 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,932 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,932 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:44,933 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:45,408 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=4.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:45,409 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=5.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:45,409 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=5.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:45,410 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=6.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:45,410 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:45,411 - INFO - [omi-12.txt] mode=deviation, topk=4, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:45,411 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:45,411 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:45,411 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:45,946 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:46,743 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:46,743 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:46,743 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:46,765 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:46,765 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:46,765 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:46,765 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=5.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:46,765 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=5.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:47,923 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=6.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:47,923 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:47,923 - INFO - [omi-12.txt] mode=deviation, topk=5, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:48,246 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,346 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,347 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,429 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,429 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,429 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,429 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,429 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,430 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,430 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:48,430 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=5.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:48,430 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=5.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:48,431 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=6.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:48,431 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:49,006 - INFO - [omi-12.txt] mode=deviation, topk=6, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:49,006 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,006 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,006 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,868 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,869 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,869 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,869 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,869 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,869 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,869 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,870 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,870 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:49,870 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=6.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:49,870 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:49,870 - INFO - [omi-12.txt] mode=deviation, topk=7, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-16 22:05:49,870 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,440 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,440 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,441 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,441 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,441 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,441 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,441 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,441 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,548 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,549 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,549 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:50,549 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,014 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=6.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,014 - INFO - [omi-12.txt] mode=deviation, topk=8, threshold=7.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,015 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,313 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,494 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,494 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,494 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,495 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=6.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,495 - INFO - [omi-12.txt] mode=deviation, topk=9, threshold=7.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 22:05:51,542 - INFO - [omi-1] Starting grid search...
2025-04-16 22:05:55,370 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=0.0, P=0.7456, R=0.9551, F1=0.8374
2025-04-16 22:05:57,985 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=0.5, P=0.7456, R=0.9551, F1=0.8374
2025-04-16 22:05:58,032 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=1.0, P=0.7456, R=0.9551, F1=0.8374
2025-04-16 22:05:58,045 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=1.5, P=0.7456, R=0.9551, F1=0.8374
2025-04-16 22:05:58,046 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=2.0, P=0.7434, R=0.9438, F1=0.8317
2025-04-16 22:05:58,046 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=2.5, P=0.7387, R=0.9213, F1=0.8200
2025-04-16 22:05:58,069 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=3.0, P=0.7364, R=0.9101, F1=0.8141
2025-04-16 22:05:58,101 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=3.5, P=0.7315, R=0.8876, F1=0.8020
2025-04-16 22:05:58,101 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=4.0, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 22:05:58,123 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=4.5, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 22:05:58,123 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=5.0, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 22:05:58,123 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=5.5, P=0.7308, R=0.8539, F1=0.7876
2025-04-16 22:05:59,208 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=6.0, P=0.7255, R=0.8315, F1=0.7749
2025-04-16 22:05:59,208 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=6.5, P=0.7327, R=0.8315, F1=0.7789
2025-04-16 22:05:59,209 - INFO - [omi-1.txt] mode=deviation, topk=1, threshold=7.0, P=0.7327, R=0.8315, F1=0.7789
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=0.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=0.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=1.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=1.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=2.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=2.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=3.0, P=0.7479, R=1.0000, F1=0.8558
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=3.5, P=0.7436, R=0.9775, F1=0.8447
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=4.0, P=0.7391, R=0.9551, F1=0.8333
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=4.5, P=0.7391, R=0.9551, F1=0.8333
2025-04-16 22:05:59,210 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=5.0, P=0.7345, R=0.9326, F1=0.8218
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=5.5, P=0.7297, R=0.9101, F1=0.8100
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=6.0, P=0.7297, R=0.9101, F1=0.8100
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=6.5, P=0.7297, R=0.9101, F1=0.8100
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=2, threshold=7.0, P=0.7273, R=0.8989, F1=0.8040
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=3, threshold=0.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=3, threshold=0.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=3, threshold=1.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=3, threshold=1.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 22:05:59,211 - INFO - [omi-1.txt] mode=deviation, topk=3, threshold=2.0, P=0.7417, R=1.0000, F1=0.8517
