2025-04-18 14:06:44,323 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-04-18 14:06:44,323 - INFO - 当前评分模式: ['mean_ratio']
2025-04-18 14:06:44,323 - INFO - 
==================================================
2025-04-18 14:06:44,323 - INFO - 开始执行网格搜索...
2025-04-18 14:06:44,324 - INFO - [omi-12] Starting grid search...
2025-04-18 14:06:47,091 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:06:47,093 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:06:47,093 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.6230, R=0.9500, F1=0.7525
2025-04-18 14:06:47,093 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.6230, R=0.9500, F1=0.7525
2025-04-18 14:06:47,093 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-18 14:06:47,093 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.6333, R=0.9500, F1=0.7600
2025-04-18 14:06:47,093 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.6333, R=0.9500, F1=0.7600
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,094 - INFO - [omi-12.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.6552, R=0.9500, F1=0.7755
2025-04-18 14:06:47,140 - INFO - [omi-1] Starting grid search...
2025-04-18 14:06:50,566 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:06:50,642 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:06:50,642 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:06:50,804 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:06:50,805 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:06:50,805 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-18 14:06:50,805 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.7281, R=0.9326, F1=0.8177
2025-04-18 14:06:50,805 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,805 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,805 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,806 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,806 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,806 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,806 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,806 - INFO - [omi-1.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.7207, R=0.8989, F1=0.8000
2025-04-18 14:06:50,856 - INFO - [omi-5] Starting grid search...
2025-04-18 14:06:54,455 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.4757, R=1.0000, F1=0.6447
2025-04-18 14:06:54,531 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.4706, R=0.9796, F1=0.6358
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.4653, R=0.9592, F1=0.6267
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.4653, R=0.9592, F1=0.6267
2025-04-18 14:06:54,532 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.4700, R=0.9592, F1=0.6309
2025-04-18 14:06:54,533 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.4646, R=0.9388, F1=0.6216
2025-04-18 14:06:54,533 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.4639, R=0.9184, F1=0.6164
2025-04-18 14:06:54,533 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=6.0, P=0.4583, R=0.8980, F1=0.6069
2025-04-18 14:06:54,533 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=6.5, P=0.4583, R=0.8980, F1=0.6069
2025-04-18 14:06:54,566 - INFO - [omi-5.txt] mode=mean_ratio, all=None, threshold=7.0, P=0.4583, R=0.8980, F1=0.6069
2025-04-18 14:06:54,610 - INFO - [omi-6] Starting grid search...
2025-04-18 14:06:58,584 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.2606, R=0.9773, F1=0.4115
2025-04-18 14:06:58,586 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.2606, R=0.9773, F1=0.4115
2025-04-18 14:06:58,586 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.2606, R=0.9773, F1=0.4115
2025-04-18 14:06:58,586 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.2606, R=0.9773, F1=0.4115
2025-04-18 14:06:58,586 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.2606, R=0.9773, F1=0.4115
2025-04-18 14:06:58,586 - INFO - [omi-6.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.2606, R=0.9773, F1=0.4115
