2025-04-18 13:12:09,136 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-18 13:12:09,136 - INFO - 当前评分模式: ['range_ratio']
2025-04-18 13:12:09,136 - INFO - 
==================================================
2025-04-18 13:12:09,136 - INFO - 开始执行网格搜索...
2025-04-18 13:12:09,138 - INFO - [omi-12] Starting grid search...
2025-04-18 13:12:12,010 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-04-18 13:12:12,012 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=0.5, P=0.7105, R=0.6750, F1=0.6923
2025-04-18 13:12:12,051 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=1.0, P=0.7222, R=0.6500, F1=0.6842
2025-04-18 13:12:12,578 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=1.5, P=0.7143, R=0.6250, F1=0.6667
2025-04-18 13:12:12,866 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=2.0, P=0.7097, R=0.5500, F1=0.6197
2025-04-18 13:12:13,004 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=2.5, P=0.6897, R=0.5000, F1=0.5797
2025-04-18 13:12:13,006 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=3.0, P=0.8636, R=0.4750, F1=0.6129
2025-04-18 13:12:13,057 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=3.5, P=0.8571, R=0.4500, F1=0.5902
2025-04-18 13:12:13,171 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=4.0, P=0.8571, R=0.4500, F1=0.5902
2025-04-18 13:12:13,405 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=4.5, P=0.9444, R=0.4250, F1=0.5862
2025-04-18 13:12:13,405 - INFO - [omi-12.txt] mode=range_ratio, topk=1, threshold=5.0, P=0.9444, R=0.4250, F1=0.5862
