2025-05-07 12:03:06,832 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-05-07 12:03:06,832 - INFO - 当前评分模式: ['range_ratio']
2025-05-07 12:03:06,832 - INFO - 
==================================================
2025-05-07 12:03:06,832 - INFO - 开始执行网格搜索...
2025-05-07 12:03:06,833 - INFO - [omi-12] Starting grid search...
2025-05-07 12:03:09,566 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:03:09,835 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:03:09,872 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:03:09,874 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=1.5, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,874 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=2.0, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,874 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=2.5, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,874 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=3.0, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=3.5, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=4.0, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=6.0, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=6.5, P=0.6491, R=0.9250, F1=0.7629
2025-05-07 12:03:09,875 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=7.0, P=0.6607, R=0.9250, F1=0.7708
2025-05-07 12:03:09,925 - INFO - [omi-1] Starting grid search...
2025-05-07 12:03:13,792 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-05-07 12:03:13,793 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-05-07 12:03:13,794 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-05-07 12:03:13,796 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=1.5, P=0.7207, R=0.8989, F1=0.8000
2025-05-07 12:03:13,797 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=2.0, P=0.7130, R=0.8652, F1=0.7817
2025-05-07 12:03:13,797 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=2.5, P=0.7130, R=0.8652, F1=0.7817
