2025-04-16 23:15:55,547 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-04-16 23:15:55,547 - INFO - 当前评分模式: ['range_ratio']
2025-04-16 23:15:55,547 - INFO - 
==================================================
2025-04-16 23:15:55,547 - INFO - 开始执行网格搜索...
2025-04-16 23:15:55,548 - INFO - [omi-12] Starting grid search...
2025-04-16 23:15:58,414 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 23:15:58,415 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 23:15:58,426 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-16 23:15:58,426 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=1.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,434 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=2.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,434 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=2.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,434 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=3.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,434 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=3.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,441 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=4.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,441 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=4.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,441 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=5.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,468 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=5.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,775 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=6.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,775 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=6.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-16 23:15:58,776 - INFO - [omi-12.txt] mode=range_ratio, all=None, threshold=7.0, P=0.6607, R=0.9250, F1=0.7708
2025-04-16 23:15:58,818 - INFO - [omi-1] Starting grid search...
2025-04-16 23:16:02,667 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 23:16:02,669 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 23:16:02,670 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 23:16:02,670 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=1.5, P=0.7207, R=0.8989, F1=0.8000
2025-04-16 23:16:02,670 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=2.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 23:16:02,670 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=2.5, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 23:16:02,687 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=3.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 23:16:02,693 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=3.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 23:16:02,725 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=4.0, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 23:16:03,182 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=4.5, P=0.7196, R=0.8652, F1=0.7857
2025-04-16 23:16:03,183 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=5.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 23:16:03,183 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=5.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 23:16:03,183 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=6.0, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 23:16:03,183 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=6.5, P=0.7264, R=0.8652, F1=0.7897
2025-04-16 23:16:03,183 - INFO - [omi-1.txt] mode=range_ratio, all=None, threshold=7.0, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 23:16:03,232 - INFO - [omi-5] Starting grid search...
2025-04-16 23:16:07,215 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=0.0, P=0.4757, R=1.0000, F1=0.6447
2025-04-16 23:16:07,216 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=0.5, P=0.4706, R=0.9796, F1=0.6358
2025-04-16 23:16:07,216 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=1.0, P=0.4706, R=0.9796, F1=0.6358
2025-04-16 23:16:07,216 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=1.5, P=0.4700, R=0.9592, F1=0.6309
2025-04-16 23:16:07,239 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=2.0, P=0.4583, R=0.8980, F1=0.6069
2025-04-16 23:16:07,240 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=2.5, P=0.4681, R=0.8980, F1=0.6154
2025-04-16 23:16:07,441 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=3.0, P=0.4674, R=0.8776, F1=0.6099
2025-04-16 23:16:07,442 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=3.5, P=0.4767, R=0.8367, F1=0.6074
2025-04-16 23:16:07,578 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=4.0, P=0.4691, R=0.7755, F1=0.5846
2025-04-16 23:16:07,578 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=4.5, P=0.4872, R=0.7755, F1=0.5984
2025-04-16 23:16:07,579 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=5.0, P=0.4935, R=0.7755, F1=0.6032
2025-04-16 23:16:07,579 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=5.5, P=0.4933, R=0.7551, F1=0.5968
2025-04-16 23:16:07,579 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=6.0, P=0.4933, R=0.7551, F1=0.5968
2025-04-16 23:16:07,579 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=6.5, P=0.5000, R=0.7347, F1=0.5950
2025-04-16 23:16:07,579 - INFO - [omi-5.txt] mode=range_ratio, all=None, threshold=7.0, P=0.4857, R=0.6939, F1=0.5714
2025-04-16 23:16:07,631 - INFO - [omi-6] Starting grid search...
2025-04-16 23:16:11,313 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=0.0, P=0.2606, R=0.9773, F1=0.4115
2025-04-16 23:16:11,416 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=0.5, P=0.2606, R=0.9773, F1=0.4115
2025-04-16 23:16:11,416 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=1.0, P=0.2622, R=0.9773, F1=0.4135
2025-04-16 23:16:11,417 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=1.5, P=0.2638, R=0.9773, F1=0.4155
2025-04-16 23:16:11,758 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=2.0, P=0.2704, R=0.9773, F1=0.4236
2025-04-16 23:16:11,759 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=2.5, P=0.2614, R=0.9091, F1=0.4061
2025-04-16 23:16:11,759 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=3.0, P=0.2632, R=0.9091, F1=0.4082
2025-04-16 23:16:11,759 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=3.5, P=0.2600, R=0.8864, F1=0.4021
2025-04-16 23:16:11,759 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=4.0, P=0.2600, R=0.8864, F1=0.4021
2025-04-16 23:16:11,759 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=4.5, P=0.2550, R=0.8636, F1=0.3938
2025-04-16 23:16:11,760 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=5.0, P=0.2568, R=0.8636, F1=0.3958
2025-04-16 23:16:11,760 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=5.5, P=0.2603, R=0.8636, F1=0.4000
2025-04-16 23:16:11,760 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=6.0, P=0.2621, R=0.8636, F1=0.4021
2025-04-16 23:16:11,760 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=6.5, P=0.2587, R=0.8409, F1=0.3957
2025-04-16 23:16:11,760 - INFO - [omi-6.txt] mode=range_ratio, all=None, threshold=7.0, P=0.2535, R=0.8182, F1=0.3871
2025-04-16 23:16:11,810 - INFO - [omi-7] Starting grid search...
2025-04-16 23:16:15,459 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=0.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,460 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=0.5, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,460 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=1.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,460 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=1.5, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,460 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=2.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,460 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=2.5, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,461 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=3.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,461 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=3.5, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,675 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=4.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,676 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=4.5, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,676 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=5.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,676 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=5.5, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,677 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=6.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,677 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=6.5, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,677 - INFO - [omi-7.txt] mode=range_ratio, all=None, threshold=7.0, P=0.9048, R=0.9744, F1=0.9383
2025-04-16 23:16:15,721 - INFO - [omi-9] Starting grid search...
2025-04-16 23:16:19,429 - INFO - [omi-9.txt] mode=range_ratio, all=None, threshold=0.0, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:16:19,431 - INFO - [omi-9.txt] mode=range_ratio, all=None, threshold=0.5, P=0.4962, R=0.9155, F1=0.6436
2025-04-16 23:16:19,432 - INFO - [omi-9.txt] mode=range_ratio, all=None, threshold=1.0, P=0.4962, R=0.9155, F1=0.6436
