2025-04-17 08:29:30,961 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 08:29:30,961 - INFO - 当前评分模式: ['value_times_range']
2025-04-17 08:29:30,961 - INFO - 
==================================================
2025-04-17 08:29:30,961 - INFO - 开始执行网格搜索...
2025-04-17 08:29:30,962 - INFO - [omi-12] Starting grid search...
2025-04-17 08:29:33,544 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-04-17 08:29:33,570 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=0.5, P=0.7222, R=0.6500, F1=0.6842
2025-04-17 08:29:33,805 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=1.0, P=0.8077, R=0.5250, F1=0.6364
2025-04-17 08:29:33,814 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=1.5, P=0.8696, R=0.5000, F1=0.6349
2025-04-17 08:29:33,814 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=2.0, P=0.8947, R=0.4250, F1=0.5763
2025-04-17 08:29:34,580 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=2.5, P=0.8947, R=0.4250, F1=0.5763
2025-04-17 08:29:34,666 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=3.0, P=0.8947, R=0.4250, F1=0.5763
2025-04-17 08:29:35,477 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=3.5, P=0.8947, R=0.4250, F1=0.5763
2025-04-17 08:29:35,711 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=4.0, P=0.8947, R=0.4250, F1=0.5763
2025-04-17 08:29:36,010 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=4.5, P=0.8889, R=0.4000, F1=0.5517
2025-04-17 08:29:36,150 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=5.0, P=0.8750, R=0.3500, F1=0.5000
2025-04-17 08:29:36,150 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=5.5, P=0.8571, R=0.3000, F1=0.4444
2025-04-17 08:29:36,157 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=6.0, P=0.8571, R=0.3000, F1=0.4444
2025-04-17 08:29:36,157 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=6.5, P=0.8571, R=0.3000, F1=0.4444
2025-04-17 08:29:36,157 - INFO - [omi-12.txt] mode=value_times_range, topk=1, threshold=7.0, P=0.8462, R=0.2750, F1=0.4151
2025-04-17 08:29:36,158 - INFO - [omi-12.txt] mode=value_times_range, topk=2, threshold=0.0, P=0.6383, R=0.7500, F1=0.6897
