2025-04-18 13:26:30,505 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['strict_deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-04-18 13:26:30,505 - INFO - 当前评分模式: ['strict_deviation']
2025-04-18 13:26:30,505 - INFO - 
==================================================
2025-04-18 13:26:30,505 - INFO - 开始执行网格搜索...
2025-04-18 13:26:30,507 - INFO - [omi-12] Starting grid search...
2025-04-18 13:26:33,497 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:33,498 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:33,580 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:33,822 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:34,372 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.0, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:34,374 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.5, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:34,374 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.0, P=0.6304, R=0.7250, F1=0.6744
2025-04-18 13:26:34,455 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.5, P=0.6047, R=0.6500, F1=0.6265
2025-04-18 13:26:34,545 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:34,862 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:34,862 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.0, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:34,862 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.5, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:35,097 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.0, P=0.6316, R=0.6000, F1=0.6154
2025-04-18 13:26:35,502 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.5, P=0.6667, R=0.6000, F1=0.6316
2025-04-18 13:26:35,503 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=7.0, P=0.7059, R=0.6000, F1=0.6486
2025-04-18 13:26:35,504 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:35,504 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:35,504 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:35,504 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:35,504 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.0, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:35,504 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=2.5, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.0, P=0.6304, R=0.7250, F1=0.6744
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=3.5, P=0.6047, R=0.6500, F1=0.6265
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.0, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=5.5, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.0, P=0.6316, R=0.6000, F1=0.6154
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=6.5, P=0.6667, R=0.6000, F1=0.6316
2025-04-18 13:26:35,505 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.0, threshold=7.0, P=0.7059, R=0.6000, F1=0.6486
2025-04-18 13:26:35,506 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:35,506 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:35,506 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:35,591 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:35,591 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=2.0, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:35,591 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=2.5, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:35,685 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=3.0, P=0.6304, R=0.7250, F1=0.6744
2025-04-18 13:26:35,895 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=3.5, P=0.6047, R=0.6500, F1=0.6265
2025-04-18 13:26:36,126 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:36,261 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:36,261 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=5.0, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:36,261 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=5.5, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:36,261 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=6.0, P=0.6316, R=0.6000, F1=0.6154
2025-04-18 13:26:36,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=6.5, P=0.6667, R=0.6000, F1=0.6316
2025-04-18 13:26:36,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.1, threshold=7.0, P=0.7059, R=0.6000, F1=0.6486
2025-04-18 13:26:36,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:36,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:36,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:36,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:36,276 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=2.0, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:36,277 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=2.5, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:36,393 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=3.0, P=0.6304, R=0.7250, F1=0.6744
2025-04-18 13:26:36,394 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=3.5, P=0.6047, R=0.6500, F1=0.6265
2025-04-18 13:26:36,582 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:36,738 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:37,371 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=5.0, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:37,372 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=5.5, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:37,372 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=6.0, P=0.6316, R=0.6000, F1=0.6154
2025-04-18 13:26:37,373 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=6.5, P=0.6667, R=0.6000, F1=0.6316
2025-04-18 13:26:37,386 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=7.0, P=0.7059, R=0.6000, F1=0.6486
2025-04-18 13:26:37,386 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:37,386 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:37,386 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:37,419 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:37,528 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=2.0, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:37,663 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=2.5, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:37,794 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=3.0, P=0.6304, R=0.7250, F1=0.6744
2025-04-18 13:26:37,950 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=3.5, P=0.6047, R=0.6500, F1=0.6265
2025-04-18 13:26:37,995 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:38,020 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:38,153 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=5.0, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:38,235 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=5.5, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:38,310 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=6.0, P=0.6316, R=0.6000, F1=0.6154
2025-04-18 13:26:38,638 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=6.5, P=0.6667, R=0.6000, F1=0.6316
2025-04-18 13:26:38,773 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=7.0, P=0.7059, R=0.6000, F1=0.6486
2025-04-18 13:26:38,775 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:38,805 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:38,829 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:38,832 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:38,970 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=2.0, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:39,156 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=2.5, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:39,157 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=3.0, P=0.6304, R=0.7250, F1=0.6744
2025-04-18 13:26:39,157 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=3.5, P=0.6047, R=0.6500, F1=0.6265
2025-04-18 13:26:39,158 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:39,158 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:39,158 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=5.0, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:39,158 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=5.5, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:39,158 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=6.0, P=0.6316, R=0.6000, F1=0.6154
2025-04-18 13:26:39,159 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=6.5, P=0.6667, R=0.6000, F1=0.6316
2025-04-18 13:26:39,349 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.2, threshold=7.0, P=0.7059, R=0.6000, F1=0.6486
2025-04-18 13:26:39,467 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:39,873 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:39,873 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:39,971 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:39,972 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=2.0, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:39,980 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=2.5, P=0.6364, R=0.8750, F1=0.7368
2025-04-18 13:26:40,019 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=3.0, P=0.6304, R=0.7250, F1=0.6744
2025-04-18 13:26:40,232 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=3.5, P=0.6047, R=0.6500, F1=0.6265
2025-04-18 13:26:40,232 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:40,232 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:40,233 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=5.0, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:40,347 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=5.5, P=0.6410, R=0.6250, F1=0.6329
2025-04-18 13:26:40,447 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=6.0, P=0.6316, R=0.6000, F1=0.6154
2025-04-18 13:26:40,619 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=6.5, P=0.6667, R=0.6000, F1=0.6316
2025-04-18 13:26:40,670 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.3, threshold=7.0, P=0.7059, R=0.6000, F1=0.6486
2025-04-18 13:26:40,677 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:41,143 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:41,143 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:41,144 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:41,407 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=2.0, P=0.6481, R=0.8750, F1=0.7447
2025-04-18 13:26:41,475 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=2.5, P=0.6731, R=0.8750, F1=0.7609
2025-04-18 13:26:41,483 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=3.0, P=0.6444, R=0.7250, F1=0.6824
2025-04-18 13:26:41,554 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=3.5, P=0.6190, R=0.6500, F1=0.6341
2025-04-18 13:26:41,554 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:41,581 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:41,581 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=5.0, P=0.6579, R=0.6250, F1=0.6410
2025-04-18 13:26:41,887 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=5.5, P=0.6579, R=0.6250, F1=0.6410
2025-04-18 13:26:41,888 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=6.0, P=0.6486, R=0.6000, F1=0.6234
2025-04-18 13:26:41,888 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=6.5, P=0.6571, R=0.5750, F1=0.6133
2025-04-18 13:26:41,888 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=7.0, P=0.6875, R=0.5500, F1=0.6111
2025-04-18 13:26:41,888 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:41,889 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:41,889 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:41,988 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=1.5, P=0.6429, R=0.9000, F1=0.7500
2025-04-18 13:26:41,988 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=2.0, P=0.6481, R=0.8750, F1=0.7447
2025-04-18 13:26:42,226 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=2.5, P=0.6731, R=0.8750, F1=0.7609
2025-04-18 13:26:42,227 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=3.0, P=0.6444, R=0.7250, F1=0.6824
2025-04-18 13:26:42,518 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=3.5, P=0.6190, R=0.6500, F1=0.6341
2025-04-18 13:26:42,597 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=4.0, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:42,649 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=4.5, P=0.6250, R=0.6250, F1=0.6250
2025-04-18 13:26:42,758 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=5.0, P=0.6579, R=0.6250, F1=0.6410
2025-04-18 13:26:42,760 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=5.5, P=0.6579, R=0.6250, F1=0.6410
2025-04-18 13:26:42,760 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=6.0, P=0.6486, R=0.6000, F1=0.6234
2025-04-18 13:26:42,965 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=6.5, P=0.6571, R=0.5750, F1=0.6133
2025-04-18 13:26:42,966 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=7.0, P=0.6875, R=0.5500, F1=0.6111
2025-04-18 13:26:42,967 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 13:26:43,044 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=0.5, P=0.6491, R=0.9250, F1=0.7629
2025-04-18 13:26:43,063 - INFO - [omi-12.txt] mode=strict_deviation, corr_threshold=0.4, threshold=1.0, P=0.6491, R=0.9250, F1=0.7629
