2025-05-07 11:03:06,535 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_topk', visual_dir='./visual/omi/neighbor_topk', num_workers=36, gif_duration=500)
2025-05-07 11:03:06,535 - INFO - 当前评分模式: ['mean_ratio']
2025-05-07 11:03:06,535 - INFO - 
==================================================
2025-05-07 11:03:06,535 - INFO - 开始执行网格搜索...
2025-05-07 11:03:06,537 - INFO - [omi-12] Starting grid search...
2025-05-07 11:03:09,602 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=0.0, P=0.6750, R=0.6750, F1=0.6750
2025-05-07 11:03:09,604 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=0.5, P=0.7027, R=0.6500, F1=0.6753
2025-05-07 11:03:09,715 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=1.0, P=0.7222, R=0.6500, F1=0.6842
2025-05-07 11:03:10,840 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=1.5, P=0.7097, R=0.5500, F1=0.6197
2025-05-07 11:03:11,112 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=2.0, P=0.8077, R=0.5250, F1=0.6364
2025-05-07 11:03:11,114 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=2.5, P=0.8400, R=0.5250, F1=0.6462
2025-05-07 11:03:11,346 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=3.0, P=0.8333, R=0.5000, F1=0.6250
2025-05-07 11:03:11,544 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=3.5, P=0.8333, R=0.5000, F1=0.6250
2025-05-07 11:03:11,591 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=4.0, P=0.8696, R=0.5000, F1=0.6349
2025-05-07 11:03:11,605 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=4.5, P=0.8696, R=0.5000, F1=0.6349
2025-05-07 11:03:11,610 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=5.0, P=0.8696, R=0.5000, F1=0.6349
2025-05-07 11:03:11,618 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=5.5, P=0.9091, R=0.5000, F1=0.6452
2025-05-07 11:03:11,621 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=6.0, P=0.9091, R=0.5000, F1=0.6452
2025-05-07 11:03:11,622 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=6.5, P=0.9091, R=0.5000, F1=0.6452
2025-05-07 11:03:11,639 - INFO - [omi-12.txt] mode=mean_ratio, topk=1, threshold=7.0, P=0.9091, R=0.5000, F1=0.6452
2025-05-07 11:03:11,640 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=0.0, P=0.6383, R=0.7500, F1=0.6897
2025-05-07 11:03:11,640 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=0.5, P=0.6744, R=0.7250, F1=0.6988
2025-05-07 11:03:11,640 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=1.0, P=0.6829, R=0.7000, F1=0.6914
2025-05-07 11:03:11,641 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=1.5, P=0.6842, R=0.6500, F1=0.6667
2025-05-07 11:03:11,641 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=2.0, P=0.7353, R=0.6250, F1=0.6757
2025-05-07 11:03:11,641 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=2.5, P=0.7812, R=0.6250, F1=0.6944
2025-05-07 11:03:11,641 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=3.0, P=0.8065, R=0.6250, F1=0.7042
2025-05-07 11:03:11,641 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=3.5, P=0.8065, R=0.6250, F1=0.7042
2025-05-07 11:03:11,748 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=4.0, P=0.8333, R=0.6250, F1=0.7143
2025-05-07 11:03:11,750 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=4.5, P=0.8333, R=0.6250, F1=0.7143
2025-05-07 11:03:11,750 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=5.0, P=0.8621, R=0.6250, F1=0.7246
2025-05-07 11:03:11,750 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=5.5, P=0.8929, R=0.6250, F1=0.7353
2025-05-07 11:03:11,750 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=6.0, P=0.8929, R=0.6250, F1=0.7353
2025-05-07 11:03:11,751 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=6.5, P=0.8929, R=0.6250, F1=0.7353
2025-05-07 11:03:11,766 - INFO - [omi-12.txt] mode=mean_ratio, topk=2, threshold=7.0, P=0.9259, R=0.6250, F1=0.7463
2025-05-07 11:03:11,793 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=0.0, P=0.5926, R=0.8000, F1=0.6809
2025-05-07 11:03:11,799 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=0.5, P=0.6596, R=0.7750, F1=0.7126
2025-05-07 11:03:11,799 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=1.0, P=0.6522, R=0.7500, F1=0.6977
2025-05-07 11:03:11,799 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=1.5, P=0.6522, R=0.7500, F1=0.6977
2025-05-07 11:03:11,814 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=2.0, P=0.6744, R=0.7250, F1=0.6988
2025-05-07 11:03:11,814 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=2.5, P=0.7073, R=0.7250, F1=0.7160
2025-05-07 11:03:11,814 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=3.0, P=0.7436, R=0.7250, F1=0.7342
2025-05-07 11:03:12,030 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=3.5, P=0.7436, R=0.7250, F1=0.7342
2025-05-07 11:03:12,031 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=4.0, P=0.7838, R=0.7250, F1=0.7532
2025-05-07 11:03:12,037 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=4.5, P=0.7838, R=0.7250, F1=0.7532
2025-05-07 11:03:12,048 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=5.0, P=0.7838, R=0.7250, F1=0.7532
2025-05-07 11:03:12,098 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=5.5, P=0.8286, R=0.7250, F1=0.7733
2025-05-07 11:03:12,135 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=6.0, P=0.8286, R=0.7250, F1=0.7733
2025-05-07 11:03:12,137 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=6.5, P=0.8286, R=0.7250, F1=0.7733
2025-05-07 11:03:12,137 - INFO - [omi-12.txt] mode=mean_ratio, topk=3, threshold=7.0, P=0.8529, R=0.7250, F1=0.7838
2025-05-07 11:03:12,585 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=0.0, P=0.5818, R=0.8000, F1=0.6737
2025-05-07 11:03:12,585 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=0.5, P=0.6200, R=0.7750, F1=0.6889
2025-05-07 11:03:12,598 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=1.0, P=0.6200, R=0.7750, F1=0.6889
2025-05-07 11:03:13,119 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=1.5, P=0.6458, R=0.7750, F1=0.7045
2025-05-07 11:03:13,452 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=2.0, P=0.6596, R=0.7750, F1=0.7126
2025-05-07 11:03:13,452 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=2.5, P=0.6739, R=0.7750, F1=0.7209
2025-05-07 11:03:13,452 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=3.0, P=0.6889, R=0.7750, F1=0.7294
2025-05-07 11:03:13,477 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=3.5, P=0.7045, R=0.7750, F1=0.7381
2025-05-07 11:03:13,766 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=4.0, P=0.7381, R=0.7750, F1=0.7561
2025-05-07 11:03:13,766 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=4.5, P=0.7381, R=0.7750, F1=0.7561
2025-05-07 11:03:13,802 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=5.0, P=0.7381, R=0.7750, F1=0.7561
2025-05-07 11:03:14,079 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=5.5, P=0.7561, R=0.7750, F1=0.7654
2025-05-07 11:03:14,081 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=6.0, P=0.7750, R=0.7750, F1=0.7750
2025-05-07 11:03:14,744 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=6.5, P=0.7750, R=0.7750, F1=0.7750
2025-05-07 11:03:14,745 - INFO - [omi-12.txt] mode=mean_ratio, topk=4, threshold=7.0, P=0.7750, R=0.7750, F1=0.7750
2025-05-07 11:03:14,745 - INFO - [omi-12.txt] mode=mean_ratio, topk=5, threshold=0.0, P=0.6034, R=0.8750, F1=0.7143
2025-05-07 11:03:14,789 - INFO - [omi-12.txt] mode=mean_ratio, topk=5, threshold=0.5, P=0.6296, R=0.8500, F1=0.7234
2025-05-07 11:03:15,531 - INFO - [omi-12.txt] mode=mean_ratio, topk=5, threshold=1.0, P=0.6296, R=0.8500, F1=0.7234
2025-05-07 11:03:16,208 - INFO - [omi-12.txt] mode=mean_ratio, topk=5, threshold=1.5, P=0.6296, R=0.8500, F1=0.7234
