2025-05-07 12:06:35,048 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-05-07 12:06:35,048 - INFO - 当前评分模式: ['robust_zscore']
2025-05-07 12:06:35,048 - INFO - 
==================================================
2025-05-07 12:06:35,048 - INFO - 开始执行网格搜索...
2025-05-07 12:06:35,050 - INFO - [omi-12] Starting grid search...
2025-05-07 12:06:37,682 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,684 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,692 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,705 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,709 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,730 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,782 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,815 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,815 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 12:06:37,819 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=4.5, P=0.6066, R=0.9250, F1=0.7327
2025-05-07 12:06:37,855 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=5.0, P=0.6066, R=0.9250, F1=0.7327
