2025-04-18 14:12:30,152 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-04-18 14:12:30,152 - INFO - 当前评分模式: ['robust_zscore']
2025-04-18 14:12:30,152 - INFO - 
==================================================
2025-04-18 14:12:30,152 - INFO - 开始执行网格搜索...
2025-04-18 14:12:30,153 - INFO - [omi-12] Starting grid search...
2025-04-18 14:12:33,309 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,315 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,433 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,434 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,434 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,434 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,434 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,696 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,697 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-04-18 14:12:33,697 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=4.5, P=0.6066, R=0.9250, F1=0.7327
2025-04-18 14:12:33,698 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=5.0, P=0.6066, R=0.9250, F1=0.7327
2025-04-18 14:12:33,698 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=5.5, P=0.6066, R=0.9250, F1=0.7327
2025-04-18 14:12:33,698 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=6.0, P=0.6066, R=0.9250, F1=0.7327
2025-04-18 14:12:33,698 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=6.5, P=0.6066, R=0.9250, F1=0.7327
2025-04-18 14:12:33,698 - INFO - [omi-12.txt] mode=robust_zscore, all=None, threshold=7.0, P=0.6066, R=0.9250, F1=0.7327
2025-04-18 14:12:33,746 - INFO - [omi-1] Starting grid search...
2025-04-18 14:12:37,601 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:12:37,901 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=0.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:12:38,065 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=1.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:12:38,065 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=1.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:12:38,066 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=2.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:12:38,066 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=2.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:12:38,066 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=3.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-18 14:12:38,066 - INFO - [omi-1.txt] mode=robust_zscore, all=None, threshold=3.5, P=0.7395, R=0.9888, F1=0.8462
